Date,Country,Continent,Population,New_Cases,Total_Cases,New_Deaths,Total_Deaths,New_Recovered,Total_Recovered,Active_Cases,New_Vaccinations,Total_Vaccinations,Vaccination_Rate,New_Tests,Total_Tests,Hospital_Patients,ICU_Patients,Positivity_Rate,Recovery_Rate,Death_Rate
2020-02-04,India,Asia,1278642419,1303,35925,51,820,1017,30868,4237,3543,181503,0.01,23454,8724888,2587.0,395.0,5.56,85.92,2.28
2020-02-05,India,Asia,1278642419,1402,37327,26,846,1180,32048,4433,8202,189705,0.01,12618,1703430,,534.0,11.11,85.86,2.27
2020-02-06,India,Asia,1278642419,1456,38783,45,891,1346,33394,4498,7044,196749,0.02,27664,10705968,1216.0,101.0,5.26,86.1,2.3
2020-02-07,India,Asia,1278642419,981,39764,23,914,852,34246,4604,5147,201896,,12753,4718610,1765.0,691.0,7.69,86.12,2.3
2020-02-08,India,Asia,1278642419,798,40562,20,934,733,34979,4649,4397,206293,0.02,15162,4472790,54.0,112.0,5.26,86.24,2.3
2020-02-09,India,Asia,1278642419,1023,41585,22,956,924,35903,4726,5788,212081,0.02,15345,3421935,4414.0,379.0,6.67,86.34,2.3
2020-02-10,India,Asia,1278642419,611,42196,19,975,491,36394,4827,1416,213497,0.02,10387,2368236,166.0,136.0,5.88,86.25,2.31
2020-02-11,India,Asia,1278642419,1049,43245,18,993,913,37307,4945,4427,217924,0.02,16784,6226864,4633.0,246.0,6.25,86.27,2.3
2020-02-12,India,Asia,1278642419,2160,45405,49,1042,1966,39273,5090,5408,223332,0.02,21600,5248800,3197.0,163.0,10.0,86.49,2.29
2020-02-13,India,Asia,1278642419,893,46298,11,1053,730,40003,5242,4525,227857,0.02,9823,3113891,4598.0,213.0,9.09,86.4,2.27
2020-02-14,India,Asia,1278642419,1514,47812,30,1083,1290,41293,5436,6079,233936,0.02,18168,1980312,2120.0,771.0,8.33,86.37,2.27
2020-02-15,India,Asia,1278642419,1200,49012,31,1114,1080,42373,5525,6360,240296,0.02,18000,6426000,385.0,768.0,6.67,86.45,2.27
2020-02-16,India,Asia,1278642419,1231,50243,47,1161,1079,43452,5630,4306,244602,0.02,11079,1462428,3796.0,389.0,11.11,86.48,2.31
2020-02-17,India,Asia,1278642419,2159,52402,82,1243,1802,45254,5905,1486,246088,0.02,17272,2469896,3963.0,52.0,12.5,86.36,2.37
2020-02-18,India,Asia,1278642419,802,53204,17,1260,608,45862,6082,3741,249829,0.02,7218,1364202,2132.0,736.0,11.11,86.2,2.37
2020-02-19,India,Asia,1278642419,1598,54802,17,1277,1484,47346,6179,4163,253992,0.02,25568,5445984,4024.0,205.0,6.25,86.39,2.33
2020-02-20,India,Asia,1278642419,1604,56406,51,1328,1486,48832,6246,5553,259545,0.02,25664,7468224,725.0,403.0,6.25,86.57,2.35
2020-02-21,India,Asia,1278642419,1924,58330,26,1354,1548,50380,6596,5950,265495,0.02,28860,8138520,4182.0,789.0,6.67,86.37,2.32
2020-02-22,India,Asia,1278642419,1571,59901,20,1374,1490,51870,6657,6464,271959,0.02,17281,4942366,778.0,351.0,9.09,86.59,2.29
2020-02-23,India,Asia,1278642419,1376,61277,41,1415,1178,53048,6814,4775,276734,0.02,23392,4631616,193.0,78.0,5.88,86.57,2.31
2020-02-24,India,Asia,1278642419,1705,62982,27,1442,1633,54681,6859,8857,285591,0.02,27280,7638400,1112.0,118.0,6.25,86.82,2.29
2020-02-25,India,Asia,1278642419,885,63867,23,1465,749,55430,6972,4984,290575,0.02,12390,3035550,782.0,244.0,7.14,86.79,2.29
2020-02-26,India,Asia,1278642419,1240,65107,43,1508,1046,56476,7123,5148,295723,0.02,18600,5449800,3043.0,643.0,6.67,86.74,2.32
2020-02-27,India,Asia,1278642419,1719,66826,66,1574,1662,58138,7114,4140,299863,0.02,18909,6637059,1877.0,79.0,9.09,87.0,2.36
2020-02-28,India,Asia,1278642419,283,67109,10,1584,219,58357,7168,7826,307689,0.02,2830,965030,4318.0,662.0,10.0,86.96,2.36
2020-02-29,India,Asia,1278642419,892,68001,12,1596,692,59049,7356,4913,312602,0.02,14272,4124608,2008.0,10.0,6.25,86.84,2.35
2020-03-01,India,Asia,1278642419,952,68953,11,1607,824,59873,7473,573,313175,0.02,11424,1633632,183.0,67.0,8.33,86.83,2.33
2020-03-02,India,Asia,1278642419,1220,70173,24,1631,926,60799,7743,5700,318875,0.02,14640,4801920,4348.0,,8.33,86.64,2.32
2020-03-03,India,Asia,1278642419,1579,71752,19,1650,1241,62040,8062,3080,321955,0.03,12632,1932696,3536.0,522.0,12.5,86.46,2.3
2020-03-04,India,Asia,1278642419,1592,73344,18,1668,1292,63332,8344,5330,327285,0.03,23880,6089400,407.0,417.0,6.67,86.35,2.27
2020-03-05,India,Asia,1278642419,755,74099,22,1690,630,63962,8447,4115,331400,0.03,14345,2008300,589.0,741.0,5.26,86.32,2.28
2020-03-06,India,Asia,1278642419,1054,75153,11,1701,855,64817,8635,2011,333411,0.03,12648,4287672,2558.0,741.0,8.33,86.25,2.26
2020-03-07,India,Asia,1278642419,1533,76686,34,1735,1464,66281,8670,7657,341068,0.03,13797,2262708,1065.0,383.0,11.11,86.43,2.26
2020-03-08,India,Asia,1278642419,1353,78039,28,1763,1237,67518,8758,4975,346043,0.03,21648,4264656,3975.0,698.0,6.25,86.52,2.26
2020-03-09,India,Asia,1278642419,1354,79393,44,1807,1287,68805,8781,8440,354483,0.03,18956,5705756,3686.0,686.0,7.14,86.66,2.28
2020-03-10,India,Asia,1278642419,997,80390,23,1830,776,69581,8979,6121,360604,0.03,9970,3579230,4830.0,726.0,10.0,86.55,2.28
2020-03-11,India,Asia,1278642419,1520,81910,43,1873,1259,70840,9197,2975,363579,0.03,22800,7957200,1624.0,163.0,6.67,86.49,2.29
2020-03-12,India,Asia,1278642419,1898,83808,48,1921,1779,72619,9268,5208,368787,0.03,24674,7920354,285.0,398.0,7.69,86.65,2.29
2020-03-13,India,Asia,1278642419,1386,85194,33,1954,1167,73786,9454,7415,376202,0.03,16632,2893968,4031.0,587.0,8.33,86.61,2.29
2020-03-14,India,Asia,1278642419,1004,86198,10,1964,830,74616,9618,4383,380585,0.03,9036,3144528,1408.0,444.0,11.11,86.56,2.28
2020-03-15,India,Asia,1278642419,1876,88074,41,2005,1663,76279,9790,5133,385718,0.03,18760,7203840,2178.0,142.0,10.0,86.61,2.28
2020-03-16,India,Asia,1278642419,433,88507,10,2015,418,76697,9795,4900,390618,0.03,5196,1735464,4350.0,135.0,8.33,86.66,2.28
2020-03-17,India,Asia,1278642419,381,88888,9,2024,324,77021,9843,6646,397264,0.03,6858,1940814,3495.0,529.0,5.56,86.65,2.28
2020-03-18,India,Asia,1278642419,1648,90536,41,2065,1588,78609,9862,4576,401840,0.03,28016,10534016,3172.0,412.0,5.88,86.83,2.28
2020-03-19,India,Asia,1278642419,961,91497,14,2079,739,79348,10070,3572,405412,0.03,7688,1114760,573.0,355.0,12.5,86.72,2.27
2020-03-20,India,Asia,1278642419,1225,92722,37,2116,929,80277,10329,890,406302,0.03,19600,3038000,2311.0,248.0,6.25,86.58,2.28
2020-03-21,India,Asia,1278642419,1149,93871,39,2155,1050,81327,10389,4602,410904,0.03,12639,2856414,2816.0,312.0,9.09,86.64,2.3
2020-03-22,India,Asia,1278642419,1184,95055,38,2193,1026,82353,10509,5101,416005,0.03,10656,1204128,414.0,,11.11,86.64,2.31
2020-03-23,India,Asia,1278642419,1590,96645,51,2244,1203,83556,10845,5847,421852,0.03,14310,4164210,1956.0,24.0,11.11,86.46,2.32
2020-03-24,India,Asia,1278642419,859,97504,9,2253,705,84261,10990,2439,424291,0.03,12026,2934344,175.0,546.0,7.14,86.42,2.31
2020-03-25,India,Asia,1278642419,1042,98546,21,2274,930,85191,11081,1200,425491,0.03,9378,1969380,2208.0,237.0,11.11,86.45,2.31
2020-03-26,India,Asia,1278642419,1380,99926,38,2312,1206,86397,11217,7964,433455,0.03,23460,2463300,2522.0,622.0,5.88,86.46,2.31
2020-03-27,India,Asia,1278642419,1301,101227,22,2334,1118,87515,11378,6511,439966,0.03,16913,6562244,3862.0,386.0,7.69,86.45,2.31
2020-03-28,India,Asia,1278642419,1107,102334,39,2373,851,88366,11595,899,440865,0.03,16605,5745330,2920.0,146.0,6.67,86.35,2.32
2020-03-29,India,Asia,1278642419,1278,103612,47,2420,959,89325,11867,6634,447499,0.03,16614,2674854,2978.0,615.0,7.69,86.21,2.34
2020-03-30,India,Asia,1278642419,1244,104856,33,2453,1009,90334,12069,6352,453851,0.04,23636,7350796,1191.0,796.0,5.26,86.15,2.34
2020-03-31,India,Asia,1278642419,467,105323,6,2459,412,90746,12118,5086,458937,0.04,6071,2173418,1878.0,148.0,7.69,86.16,2.33
2020-04-01,India,Asia,1278642419,1133,106456,15,2474,865,91611,12371,4266,463203,0.04,21527,4929683,2110.0,177.0,5.26,86.06,2.32
2020-04-02,India,Asia,1278642419,2275,108731,76,2550,1759,93370,12811,3912,467115,0.04,27300,6442800,,245.0,8.33,85.87,2.35
2020-04-03,India,Asia,1278642419,971,109702,36,2586,882,94252,12864,2764,469879,0.04,18449,6807681,3900.0,238.0,5.26,85.92,2.36
2020-04-04,India,Asia,1278642419,1432,111134,22,2608,1148,95400,13126,5855,475734,0.04,24344,4576672,2671.0,141.0,5.88,85.84,2.35
2020-04-05,India,Asia,1278642419,1078,112212,37,2645,912,96312,13255,6705,482439,0.04,10780,2716560,4720.0,,10.0,85.83,2.36
2020-04-06,India,Asia,1278642419,655,112867,17,2662,500,96812,13393,2095,484534,0.04,9825,2918025,4068.0,48.0,6.67,85.78,2.36
2020-04-07,India,Asia,1278642419,1274,114141,25,2687,994,97806,13648,6024,490558,0.04,10192,3363360,2085.0,487.0,12.5,85.69,2.35
2020-04-08,India,Asia,1278642419,1572,115713,52,2739,1228,99034,13940,6817,497375,0.04,17292,1798368,2695.0,531.0,9.09,85.59,2.37
2020-04-09,India,Asia,1278642419,1043,116756,36,2775,807,99841,14140,6492,503867,0.04,11473,4130280,3278.0,657.0,9.09,85.51,2.38
2020-04-10,India,Asia,1278642419,42,116798,1,2776,31,99872,14150,4306,508173,0.04,420,160020,2005.0,301.0,10.0,85.51,2.38
2020-04-11,India,Asia,1278642419,851,117649,13,2789,808,100680,14180,2759,510932,0.04,11063,1349686,3255.0,721.0,7.69,85.58,2.37
2020-04-12,India,Asia,1278642419,1494,119143,21,2810,1313,101993,14340,4899,515831,0.04,13446,2729538,1034.0,632.0,11.11,85.61,2.36
2020-04-13,India,Asia,1278642419,2001,121144,75,2885,1812,103805,14454,6062,521893,0.04,34017,13130562,3106.0,613.0,5.88,85.69,2.38
2020-04-14,India,Asia,1278642419,596,121740,19,2904,569,104374,14462,8396,530289,0.04,7748,1619332,1842.0,622.0,7.69,85.74,2.39
2020-04-15,India,Asia,1278642419,1388,123128,27,2931,1136,105510,14687,4299,534588,0.04,13880,3275680,2758.0,440.0,10.0,85.69,2.38
2020-04-16,India,Asia,1278642419,1477,124605,41,2972,1144,106654,14979,3865,538453,0.04,16247,2826978,586.0,611.0,9.09,85.59,2.39
2020-04-17,India,Asia,1278642419,1170,125775,28,3000,1113,107767,15008,6453,544906,0.04,21060,5854680,1004.0,772.0,5.56,85.68,2.39
2020-04-18,India,Asia,1278642419,1412,127187,21,3021,1069,108836,15330,2246,547152,0.04,11296,2812704,4430.0,72.0,12.5,85.57,2.38
2020-04-19,India,Asia,1278642419,897,128084,22,3043,865,109701,15340,3820,550972,0.04,14352,3114384,738.0,157.0,6.25,85.65,2.38
2020-04-20,India,Asia,1278642419,1249,129333,19,3062,1019,110720,15551,7033,558005,0.04,17486,2290666,2532.0,732.0,7.14,85.61,2.37
2020-04-21,India,Asia,1278642419,2215,131548,47,3109,2068,112788,15651,3967,561972,0.04,22150,3920550,2115.0,778.0,10.0,85.74,2.36
2020-04-22,India,Asia,1278642419,1305,132853,33,3142,1116,113904,15807,8272,570244,0.04,16965,6158295,996.0,653.0,7.69,85.74,2.37
2020-04-23,India,Asia,1278642419,566,133419,16,3158,475,114379,15882,3599,573843,0.04,7924,3066588,104.0,485.0,7.14,85.73,2.37
2020-04-24,India,Asia,1278642419,1621,135040,17,3175,1294,115673,16192,7288,581131,0.05,24315,3720195,2540.0,776.0,6.67,85.66,2.35
2020-04-25,India,Asia,1278642419,1565,136605,57,3232,1365,117038,16335,1614,582745,0.05,23475,4155075,2193.0,97.0,6.67,85.68,2.37
2020-04-26,India,Asia,1278642419,1762,138367,68,3300,1687,118725,16342,5756,588501,0.05,22906,8291972,872.0,16.0,7.69,85.8,2.38
2020-04-27,India,Asia,1278642419,1509,139876,20,3320,1422,120147,16409,5840,594341,0.05,28671,8486616,4227.0,523.0,5.26,85.9,2.37
2020-04-28,India,Asia,1278642419,641,140517,13,3333,563,120710,16474,3530,597871,0.05,12179,4774168,1605.0,270.0,5.26,85.9,2.37
2020-04-29,India,Asia,1278642419,1761,142278,40,3373,1434,122144,16761,1094,598965,0.05,19371,7341609,3627.0,373.0,9.09,85.85,2.37
2020-04-30,India,Asia,1278642419,1274,143552,50,3423,1087,123231,16898,3243,602208,0.05,10192,3139136,4003.0,124.0,12.5,85.84,2.38
2020-05-01,India,Asia,1278642419,1338,144890,38,3461,1079,124310,17119,1921,604129,0.05,17394,1791582,1351.0,244.0,7.69,85.8,2.39
2020-05-02,India,Asia,1278642419,1696,146586,58,3519,1469,125779,17288,7072,611201,0.05,28832,3344512,90.0,43.0,5.88,85.81,2.4
2020-05-03,India,Asia,1278642419,1168,147754,36,3555,903,126682,17517,359,611560,,15184,5861024,4102.0,36.0,7.69,85.74,2.41
2020-05-04,India,Asia,1278642419,1315,149069,36,3591,1178,127860,17618,6768,618328,0.05,18410,5320490,3003.0,,7.14,85.77,2.41
2020-05-05,India,Asia,1278642419,918,149987,13,3604,837,128697,17686,5046,623374,0.05,9180,3497580,4838.0,301.0,10.0,85.81,2.4
2020-05-06,India,Asia,1278642419,1570,151557,49,3653,1388,130085,17819,4775,628149,0.05,20410,4286100,4243.0,64.0,7.69,85.83,2.41
2020-05-07,India,Asia,1278642419,410,151967,10,3663,322,130407,17897,4776,632925,0.05,4510,1353000,3970.0,516.0,9.09,85.81,2.41
2020-05-08,India,Asia,1278642419,1041,153008,12,3675,947,131354,17979,5436,638361,0.05,16656,2348496,110.0,625.0,6.25,85.85,2.4
2020-05-09,India,Asia,1278642419,841,153849,10,3685,631,131985,18179,4863,643224,0.05,8410,933510,3599.0,111.0,10.0,85.79,2.4
2020-05-10,India,Asia,1278642419,872,154721,32,3717,680,132665,18339,4554,647778,0.05,14824,1645464,3690.0,506.0,5.88,85.74,2.4
2020-05-11,India,Asia,1278642419,1679,156400,53,3770,1557,134222,18408,5215,652993,0.05,23506,7028294,,719.0,7.14,85.82,2.41
2020-05-12,India,Asia,1278642419,1168,157568,19,3789,1129,135351,18428,2010,655003,0.05,19856,7247440,96.0,297.0,5.88,85.9,2.4
2020-05-13,India,Asia,1278642419,637,158205,12,3801,494,135845,18559,9690,664693,0.05,8918,2800252,4282.0,697.0,7.14,85.87,2.4
2020-05-14,India,Asia,1278642419,1495,159700,17,3818,1270,137115,18767,6424,671117,0.05,26910,10010520,3611.0,624.0,5.56,85.86,2.39
2020-05-15,India,Asia,1278642419,626,160326,16,3834,535,137650,18842,7545,678662,0.05,6260,863880,3033.0,192.0,10.0,85.86,2.39
2020-05-16,India,Asia,1278642419,1385,161711,46,3880,1135,138785,19046,1526,680188,0.05,12465,2580255,4161.0,502.0,11.11,85.82,2.4
2020-05-17,India,Asia,1278642419,1237,162948,47,3927,1145,139930,19091,6917,687105,0.05,17318,5957392,863.0,38.0,7.14,85.87,2.41
2020-05-18,India,Asia,1278642419,2368,165316,42,3969,1983,141913,19434,3829,690934,0.05,37888,6213632,3480.0,349.0,6.25,85.84,2.4
2020-05-19,India,Asia,1278642419,1010,166326,20,3989,821,142734,19603,4492,695426,0.05,11110,2799720,195.0,302.0,9.09,85.82,2.4
2020-05-20,India,Asia,1278642419,1407,167733,15,4004,1089,143823,19906,4550,699976,0.05,22512,6438432,1013.0,149.0,6.25,85.75,2.39
2020-05-21,India,Asia,1278642419,1125,168858,40,4044,1077,144900,19914,3513,703489,0.06,20250,5103000,1918.0,235.0,5.56,85.81,2.39
2020-05-22,India,Asia,1278642419,1156,170014,25,4069,1080,145980,19965,5097,708586,0.06,15028,3095768,934.0,252.0,7.69,85.86,2.39
2020-05-23,India,Asia,1278642419,967,170981,15,4084,891,146871,20026,3921,712507,0.06,12571,1835366,1846.0,63.0,7.69,85.9,2.39
2020-05-24,India,Asia,1278642419,1243,172224,34,4118,1075,147946,20160,2300,714807,0.06,22374,3602214,2516.0,699.0,5.56,85.9,2.39
2020-05-25,India,Asia,1278642419,2206,174430,71,4189,1671,149617,20624,3801,718608,0.06,24266,4780402,1983.0,366.0,9.09,85.77,2.4
2020-05-26,India,Asia,1278642419,189,174619,3,4192,161,149778,20649,3418,722026,0.06,1890,204120,1405.0,179.0,10.0,85.77,2.4
2020-05-27,India,Asia,1278642419,1428,176047,45,4237,1159,150937,20873,4638,726664,0.06,27132,9496200,1024.0,47.0,5.26,85.74,2.41
2020-05-28,India,Asia,1278642419,1185,177232,14,4251,946,151883,21098,8230,734894,0.06,22515,4795695,4086.0,602.0,5.26,85.7,2.4
2020-05-29,India,Asia,1278642419,0,177232,0,4251,0,151883,21098,3433,738327,0.06,0,0,3161.0,49.0,0.0,85.7,2.4
2020-05-30,India,Asia,1278642419,1270,178502,45,4296,1021,152904,21302,8116,746443,0.06,22860,3291840,1754.0,790.0,5.56,85.66,2.41
2020-05-31,India,Asia,1278642419,1680,180182,47,4343,1538,154442,21397,7104,753547,0.06,23520,3057600,606.0,770.0,7.14,85.71,2.41
2020-06-01,India,Asia,1278642419,1124,181306,22,4365,1026,155468,21473,5264,758811,0.06,10116,3085380,2453.0,267.0,11.11,85.75,2.41
2020-06-02,India,Asia,1278642419,835,182141,13,4378,641,156109,21654,6552,765363,0.06,15030,1743480,1186.0,242.0,5.56,85.71,2.4
2020-06-03,India,Asia,1278642419,1072,183213,11,4389,997,157106,21718,3412,768775,0.06,13936,2410928,2564.0,423.0,7.69,85.75,2.4
2020-06-04,India,Asia,1278642419,1733,184946,37,4426,1368,158474,22046,4574,773349,0.06,20796,7091436,327.0,205.0,8.33,85.69,2.39
2020-06-05,India,Asia,1278642419,1538,186484,37,4463,1173,159647,22374,6758,780107,0.06,23070,6713370,2403.0,279.0,6.67,85.61,2.39
2020-06-06,India,Asia,1278642419,936,187420,27,4490,824,160471,22459,8439,788546,0.06,17784,4143672,78.0,42.0,5.26,85.62,2.4
2020-06-07,India,Asia,1278642419,1711,189131,30,4520,1283,161754,22857,4177,792723,0.06,15399,5913216,1503.0,747.0,11.11,85.52,2.39
2020-06-08,India,Asia,1278642419,1240,190371,43,4563,1011,162765,23043,7098,799821,0.06,11160,1406160,3205.0,31.0,11.11,85.5,2.4
2020-06-09,India,Asia,1278642419,368,190739,7,4570,334,163099,23070,3979,803800,0.06,3312,1258560,2030.0,172.0,11.11,85.51,2.4
2020-06-10,India,Asia,1278642419,1426,192165,34,4604,1239,164338,23223,8097,811897,0.06,27094,5202048,1034.0,666.0,5.26,85.52,2.4
2020-06-11,India,Asia,1278642419,1518,193683,53,4657,1392,165730,23296,6300,818197,,15180,1867140,4494.0,702.0,10.0,85.57,2.4
2020-06-12,India,Asia,1278642419,1288,194971,43,4700,1102,166832,23439,6276,824473,0.06,18032,5896464,3394.0,245.0,7.14,85.57,2.41
2020-06-13,India,Asia,1278642419,530,195501,7,4707,473,167305,23489,5569,830042,0.06,6360,1087560,166.0,395.0,8.33,85.58,2.41
2020-06-14,India,Asia,1278642419,999,196500,10,4717,765,168070,23713,1598,831640,0.07,8991,1744254,1439.0,504.0,11.11,85.53,2.4
2020-06-15,India,Asia,1278642419,1605,198105,52,4769,1540,169610,23726,7294,838934,0.07,25680,7139040,828.0,223.0,6.25,85.62,2.41
2020-06-16,India,Asia,1278642419,1081,199186,42,4811,844,170454,23921,4274,843208,0.07,14053,4792073,2770.0,723.0,7.69,85.58,2.42
2020-06-17,India,Asia,1278642419,1293,200479,16,4827,1069,171523,24129,1324,844532,0.07,10344,3030792,967.0,112.0,12.5,85.56,2.41
2020-06-18,India,Asia,1278642419,1613,202092,18,4845,1447,172970,24277,5994,850526,0.07,24195,2613060,366.0,644.0,6.67,85.59,2.4
2020-06-19,India,Asia,1278642419,2015,204107,72,4917,1827,174797,24393,5644,856170,0.07,22165,2349490,4256.0,260.0,9.09,85.64,2.41
2020-06-20,India,Asia,1278642419,1493,205600,41,4958,1377,176174,24468,8557,864727,0.07,14930,1687090,4954.0,709.0,10.0,85.69,2.41
2020-06-21,India,Asia,1278642419,906,206506,32,4990,723,176897,24619,4129,868856,0.07,12684,3450048,799.0,365.0,7.14,85.66,2.42
2020-06-22,India,Asia,1278642419,1435,207941,42,5032,1233,178130,24779,3967,872823,0.07,12915,3215835,2039.0,732.0,11.11,85.66,2.42
2020-06-23,India,Asia,1278642419,1427,209368,35,5067,1095,179225,25076,1404,874227,0.07,14270,2739840,4180.0,454.0,10.0,85.6,2.42
2020-06-24,India,Asia,1278642419,594,209962,20,5087,468,179693,25182,4333,878560,0.07,7128,2794176,208.0,33.0,8.33,85.58,2.42
2020-06-25,India,Asia,1278642419,648,210610,25,5112,491,180184,25314,2364,880924,0.07,5184,1809216,4753.0,626.0,12.5,85.55,2.43
2020-06-26,India,Asia,1278642419,1152,211762,41,5153,1092,181276,25333,8205,889129,0.07,14976,4268160,4440.0,764.0,7.69,85.6,2.43
2020-06-27,India,Asia,1278642419,1864,213626,59,5212,1451,182727,25687,7484,896613,0.07,27960,5200560,2197.0,761.0,6.67,85.54,2.44
2020-06-28,India,Asia,1278642419,576,214202,14,5226,484,183211,25765,7599,904212,0.07,7488,1572480,3102.0,562.0,7.69,85.53,2.44
2020-06-29,India,Asia,1278642419,1894,216096,56,5282,1460,184671,26143,8248,912460,0.07,15152,2500080,2988.0,37.0,12.5,85.46,2.44
2020-06-30,India,Asia,1278642419,1972,218068,43,5325,1581,186252,26491,7767,920227,0.07,35496,7702632,3131.0,716.0,5.56,85.41,2.44
2020-07-01,India,Asia,1278642419,1234,219302,24,5349,1150,187402,26551,2690,922917,0.07,9872,3780976,2410.0,585.0,12.5,85.45,2.44
2020-07-02,India,Asia,1278642419,1055,220357,37,5386,978,188380,26591,8738,931655,0.07,20045,4149315,1440.0,728.0,5.26,85.49,2.44
